sondages,X,Y,Z
SP10-1,651925.403691948,1737051.51282381,
SP4-2,651954.04079109,1737028.03040252,
SP4-3,651961.486436866,1737038.33975821,
SP16-4,651947.167887295,1737010.84814303,
SP16-5,651954.327162081,1737013.71185295,
SP5-6,651984.396116178,1736985.07475381,
SP5-7,651991.555390963,1736979.63370497,
SP16-8,651999.287407732,1736970.18346225,
SP16-9,652007.305795491,1736973.61991415,
SP6-11,652010.742247388,1736996.52959346,
SP7-12,652025.633538942,1736991.08854463,
SP7-13,652038.806604546,1736979.63370497,
SP7-14,652030.788216787,1736975.62451109,
SP3-15,652047.397734288,1736973.04717217,
SP13-16,652060.570799892,1736937.82354022,
SP8-17,651980.386922298,1737033.75782235,
SP8-18,651995.564584843,1737022.87572467,
SP8-19,652013.033215319,1737008.27080411,
SP8-20,652030.788216786,1736995.67048049,
SP8-21,652048.543218254,1736982.78378588,
SP9-22,652025.633538941,1737007.98443312,
SP9-23,652031.36095877,1737015.71644989,
SP9-24,652040.238459502,1736998.5341904,
SP9-25,652045.679508339,1737005.4070942,
SP15-26,652028.497248855,1737022.58935368,
SP15-27,652032.506442735,1737025.1666926,
SP15-28,652037.947491572,1737014.28459493,
SP15-29,652037.374749588,1737020.87112773,
SP11-30,652064.866364764,1737055.52201769,
SP11-31,652073.171123515,1737046.07177498,
SP11-32,652093.503463905,1737054.66290472,
SP12-33,652070.593784592,1737070.12693826,
SP12-34,652069.448300627,1737080.43629395,
SP12-35,652098.658141751,1737066.97685735,
SP12-36,652105.817416535,1737077.57258403,
SP1-37,652139.609193522,1737056.66750166,
SP1-38,652185.142181155,1737052.94467877,
SP1-39,652212.633796331,1737050.36733985,
SP1-40,652181.99210025,1736968.17886531,
SP2-41,652100.949109681,1736972.18805919,
SP2-42,652097.799028776,1736966.46063937,
SP14-43,652068.302816661,1737034.61693532,
SP14-44,652079.471285326,1737034.61693532,
